number,item_id,name,born,died,nationality,nationality_distractor,occupation,occupation_distractor,lifetime,life_status,life_status_distractor,life_status_year_verb,life_status_year_verb_distractor,life_status_year_before,life_status_year_after,life_status_year_before_match,life_status_year_correct,bio,critical,pronoun,verb,adjectiv,np,spillover1,spillover2,bio_pic,bio_spr,critical_spr,type,tense,condition,match,mismatch,list,bare_verb,prac_correct,prac_incorrect,file_name,pre_task
90,18,David Bowie,1974,2016,English,Dutch,musician,royal,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,David Bowie was an English musician. He died in New York City.,"He played numerous concerts, according to his memoir.",He,played,numerous,"concerts,",according to,his memoir.,"Look at the picture of David Bowie, an English musician.",David Bowie*was*an English*musician.*He*died*in New York City.,"He*played*numerous*concerts,*according to*his memoir.",critical,PS,recentlyPS,yes,match,2,play,crit,crit,David_Bowie.jpg,yes
93,19,Jim Morrison,1943,1971,American,Mexican,musician,politician,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Jim Morrison was an American musician. He died in Paris.,"He has sold popular records, so his memoir says.",He,has sold,popular,"records,",so his,memoir says.,"Look at the picture of Jim Morrison, an American musician.",Jim Morrison*was*an American*musician.*He*died*in Paris.,"He*has sold*popular*records,*so his*memoir says.",critical,PP,historicallyPP,no,historicallyPP,6,sell,crit,crit,Jim_Morrison.jpg,yes
94,19,Jim Morrison,1943,1971,American,Mexican,musician,politician,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Jim Morrison was an American musician. He died in Paris.,"He sold popular records, so his memoir says.",He,sold,popular,"records,",so his,memoir says.,"Look at the picture of Jim Morrison, an American musician.",Jim Morrison*was*an American*musician.*He*died*in Paris.,"He*sold*popular*records,*so his*memoir says.",critical,PS,historicallyPS,yes,match,1,sell,crit,crit,Jim_Morrison.jpg,yes
95,19,Prince,1958,2016,American,South African,musician,politician,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Prince was an American musician. He died in Minnesota.,"He has sold popular records, so his memoir says.",He,has sold,popular,"records,",so his,memoir says.,"Look at the picture of Prince, an American musician.",Prince*was*an American*musician.*He*died*in Minnesota.,"He*has sold*popular*records,*so his*memoir says.",critical,PP,recentlyPP,no,recentlyPP,2,sell,crit,crit,Prince.jpg,yes
96,19,Prince,1958,2016,American,South African,musician,politician,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Prince was an American musician. He died in Minnesota.,"He sold popular records, so his memoir says.",He,sold,popular,"records,",so his,memoir says.,"Look at the picture of Prince, an American musician.",Prince*was*an American*musician.*He*died*in Minnesota.,"He*sold*popular*records,*so his*memoir says.",critical,PS,recentlyPS,yes,match,3,sell,crit,crit,Prince.jpg,yes
99,20,Janis Joplin,1943,1970,American,English,singer,actress,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Janis Joplin was an American singer. She died in California.,"She has performed in prestigious arenas, as stated in her biography.",She,has performed,in prestigious,"arenas,",as stated in,her biography.,"Look at the picture of Janis Joplin, an American singer.",Janis Joplin*was*an American*singer.*She*died*in California.,"She*has performed*in prestigious*arenas,*as stated in*her biography.",critical,PP,historicallyPP,no,historicallyPP,1,perform,crit,crit,Janis_Joplin.jpg,yes
100,20,Janis Joplin,1943,1970,American,English,singer,actress,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Janis Joplin was an American singer. She died in California.,"She performed in prestigious arenas, as stated in her biography.",She,performed,in prestigious,"arenas,",as stated in,her biography.,"Look at the picture of Janis Joplin, an American singer.",Janis Joplin*was*an American*singer.*She*died*in California.,"She*performed*in prestigious*arenas,*as stated in*her biography.",critical,PS,historicallyPS,yes,match,2,perform,crit,crit,Janis_Joplin.jpg,yes
101,20,Amy Winehouse,1983,2011,English,German,singer,actress,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Amy Winehouse was a British singer. She died in London.,"She has performed in prestigious arenas, as stated in her biography.",She,has performed,in prestigious,"arenas,",as stated in,her biography.,"Look at the picture of Amy Winehouse, an English singer.",Amy Winehouse*was*a British*singer.*She*died*in London.,"She*has performed*in prestigious*arenas,*as stated in*her biography.",critical,PP,recentlyPP,no,recentlyPP,3,perform,crit,crit,Amy_Winehouse.jpg,yes
102,20,Amy Winehouse,1983,2011,English,German,singer,actress,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Amy Winehouse was a British singer. She died in London.,"She performed in prestigious arenas, as stated in her biography.",She,performed,in prestigious,"arenas,",as stated in,her biography.,"Look at the picture of Amy Winehouse, an English singer.",Amy Winehouse*was*a British*singer.*She*died*in London.,"She*performed*in prestigious*arenas,*as stated in*her biography.",critical,PS,recentlyPS,yes,match,4,perform,crit,crit,Amy_Winehouse.jpg,yes
105,21,Billie Holiday,1915,1959,American,Portuguese,musician,politician,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Billie Holiday was an American musician. She died in New York City.,"She has appeared in popular music videos, as stated in her memoir.",She,has appeared,in popular,"music videos,",as stated in,her memoir.,"Look at the picture of Billie Holiday, an American musician.",Billie Holiday*was*an American*musician.*She*died*in New York City.,"She*has appeared*in popular*music videos,*as stated in*her memoir.",critical,PP,historicallyPP,no,historicallyPP,2,appear,crit,crit,Billie_Holiday.jpg,yes
106,21,Billie Holiday,1915,1959,American,Portuguese,musician,politician,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Billie Holiday was an American musician. She died in New York City.,"She appeared in popular music videos, as stated in her memoir.",She,appeared,in popular,"music videos,",as stated in,her memoir.,"Look at the picture of Billie Holiday, an American musician.",Billie Holiday*was*an American*musician.*She*died*in New York City.,"She*appeared*in popular*music videos,*as stated in*her memoir.",critical,PS,historicallyPS,yes,match,3,appear,crit,crit,Billie_Holiday.jpg,yes
107,21,Whitney Houston,1963,2012,American,Australian,musician,politician,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Whitney Houston was an American musician. She died in California.,"She has appeared in popular music videos, as stated in her memoir.",She,has appeared,in popular,"music videos,",as stated in,her memoir.,"Look at the picture of Whitney Houston, an American musician.",Whitney Houston*was*an American*musician.*She*died*in California.,"She*has appeared*in popular*music videos,*as stated in*her memoir.",critical,PP,recentlyPP,no,recentlyPP,4,appear,crit,crit,Whitney_Houston.jpg,yes
108,21,Whitney Houston,1963,2012,American,Australian,musician,politician,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Whitney Houston was an American musician. She died in California.,"She appeared in popular music videos, as stated in her memoir.",She,appeared,in popular,"music videos,",as stated in,her memoir.,"Look at the picture of Whitney Houston, an American musician.",Whitney Houston*was*an American*musician.*She*died*in California.,"She*appeared*in popular*music videos,*as stated in*her memoir.",critical,PS,recentlyPS,yes,match,5,appear,crit,crit,Whitney_Houston.jpg,yes
111,22,Albert Einstein,1879  ,1955,German,French,scientist,musician,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Albert Einstein was a German scientist. He died in New Jersey.,"He has received prestigious scientific awards, as reported by his memoir.",He,has received,prestigious,"scientific awards,",as reported by,his memoir.,"Look at the picture of Albert Einstein, a German scientist.",Albert Einstein*was*a German*scientist.*He*died*in New Jersey.,"He*has received*prestigious*scientific awards,*as reported by*his memoir.",critical,PP,historicallyPP,no,historicallyPP,3,receive,crit,crit,Albert_Einstein.jpg,yes
112,22,Albert Einstein,1879  ,1955,German,French,scientist,musician,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Albert Einstein was a German scientist. He died in New Jersey.,"He received prestigious scientific awards, as reported by his memoir.",He,received,prestigious,"scientific awards,",as reported by,his memoir.,"Look at the picture of Albert Einstein, a German scientist.",Albert Einstein*was*a German*scientist.*He*died*in New Jersey.,"He*received*prestigious*scientific awards,*as reported by*his memoir.",critical,PS,historicallyPS,yes,match,4,receive,crit,crit,Albert_Einstein.jpg,yes
113,22,Stephen Hawking,1942,2018,English,American,scientist,musician,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Stephen Hawking was an English scientist. He died in Cambridge.,"He has received prestigious scientific awards, as reported by his memoir.",He,has received,prestigious,"scientific awards,",as reported by,his memoir.,"Look at the picture of Stephen Hawking, an English scientist.",Stephen Hawking*was*an English*scientist.*He*died*in Cambridge.,"He*has received*prestigious*scientific awards,*as reported by*his memoir.",critical,PP,recentlyPP,no,recentlyPP,5,receive,crit,crit,Stephen_Hawking.jpg,yes
114,22,Stephen Hawking,1942,2018,English,American,scientist,musician,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Stephen Hawking was an English scientist. He died in Cambridge.,"He received prestigious scientific awards, as reported by his memoir.",He,received,prestigious,"scientific awards,",as reported by,his memoir.,"Look at the picture of Stephen Hawking, an English scientist.",Stephen Hawking*was*an English*scientist.*He*died*in Cambridge.,"He*received*prestigious*scientific awards,*as reported by*his memoir.",critical,PS,recentlyPS,yes,match,6,receive,crit,crit,Stephen_Hawking.jpg,yes
117,23,Mao Zedong,1893,1976,Chinese,Japanese,politician,singer,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Mao Zedong was a Chinese politician. He died in Beijing.,"He has appeared in prominent political debates, as reported by the media.",He,has appeared,in prominent,"political debates,",as reported by,the media.,"Look at the picture of Mao Zedong, a Chinese politician.",Mao Zedong*was*a Chinese*politician.*He*died*in Beijing.,"He*has appeared*in prominent*political debates,*as reported by*the media.",critical,PP,historicallyPP,no,historicallyPP,4,appear,crit,crit,Mao_Zedong.jpg,yes
118,23,Mao Zedong,1893,1976,Chinese,Japanese,politician,singer,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Mao Zedong was a Chinese politician. He died in Beijing.,"He appeared in prominent political debates, as reported by the media.",He,appeared,in prominent,"political debates,",as reported by,the media.,"Look at the picture of Mao Zedong, a Chinese politician.",Mao Zedong*was*a Chinese*politician.*He*died*in Beijing.,"He*appeared*in prominent*political debates,*as reported by*the media.",critical,PS,historicallyPS,yes,match,5,appear,crit,crit,Mao_Zedong.jpg,yes
119,23,Fidel Castro,1926,2016,Cuban,Spanish,politician,singer,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Fidel Castro was a Cuban politician. He died in Cuba.,"He has appeared in prominent political debates, as reported by the media.",He,has appeared,in prominent,"political debates,",as reported by,the media.,"Look at the picture of Fidel Castro, a Cuban politician.",Fidel Castro*was*a Cuban*politician.*He*died*in Cuba.,"He*has appeared*in prominent*political debates,*as reported by*the media.",critical,PP,recentlyPP,no,recentlyPP,6,appear,crit,crit,Fidel_Castro.jpg,yes
120,23,Fidel Castro,1926,2016,Cuban,Spanish,politician,singer,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Fidel Castro was a Cuban politician. He died in Cuba.,"He appeared in prominent political debates, as reported by the media.",He,appeared,in prominent,"political debates,",as reported by,the media.,"Look at the picture of Fidel Castro, a Cuban politician.",Fidel Castro*was*a Cuban*politician.*He*died*in Cuba.,"He*appeared*in prominent*political debates,*as reported by*the media.",critical,PS,recentlyPS,yes,match,1,appear,crit,crit,Fidel_Castro.jpg,yes
123,25,Mahatma Gandhi,1869,1948,Indian,Mongolian,politician,comedian,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Mahatma Gandhi was an Indian politician. He died in New Delhi.,"He has won important elections, as stated in his biography.",He ,has inspired,several,"elections,",as stated in,his biography.,"Look at the picture of Mahatma Gandhi, a Indian politician.",Mahatma Gandhi*was*an Indian*politician.*He*died*in New Delhi.,"He*has won*important*elections,*as stated in*his biography.",critical,PP,historicallyPP,no,historicallyPP,5,win,crit,crit,Mahatma_Gandhi.jpg,yes
124,25,Mahatma Gandhi,1869,1948,Indian,Mongolian,politician,comedian,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Mahatma Gandhi was an Indian politician. He died in New Delhi.,"He won important elections, as stated in his biography.",He ,inspired,several,"elections,",as stated in,his biography.,"Look at the picture of Mahatma Gandhi, a Indian politician.",Mahatma Gandhi*was*an Indian*politician.*He*died*in New Delhi.,"He*won*important*elections,*as stated in*his biography.",critical,PS,historicallyPS,yes,match,6,win,crit,crit,Mahatma_Gandhi.jpg,yes
125,25,Nelson Mandela,1918,2013,South African,Malaysian,politician,comedian,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Nelson Mandela was an African politician. He died in South Africa.,"He has won important elections, as stated in his biography.",He,has won,important,"elections,",as stated in,his biography.,"Look at the picture of Nelson Mandela, a South African politician.",Nelson Mandela*was*an African*politician.*He*died*in South Africa.,"He*has won*important*elections,*as stated in*his biography.",critical,PP,recentlyPP,no,recentlyPP,1,win,crit,crit,Nelson_Mandela.jpg,yes
126,25,Nelson Mandela,1918,2013,South African,Malaysian,politician,comedian,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Nelson Mandela was an African politician. He died in South Africa.,"He won important elections, as stated in his biography.",He,won,important,"elections,",as stated in,his biography.,"Look at the picture of Nelson Mandela, a South African politician.",Nelson Mandela*was*an African*politician.*He*died*in South Africa.,"He*won*important*elections,*as stated in*his biography.",critical,PS,recentlyPS,yes,match,2,win,crit,crit,Nelson_Mandela.jpg,yes
129,26,Nancy Astor,1879,1964,British,American,politician,activist,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Nancy Astor was a British politician. She died in Lincolnshire.,"She has won well-deserved re-elections, so her biography states.",She,has won,well-deserved,"re-elections, ",so her,biography states.,"Look at the picture of Nancy Astor, a British politician.",Nancy Astor*was*a British*politician.*She*died*in Lincolnshire.,"She*has won*well-deserved*re-elections,*so her*biography states.",critical,PP,historicallyPP,no,historicallyPP,6,win,crit,crit,Nancy_Astor.png,yes
130,26,Nancy Astor,1879,1964,British,American,politician,activist,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Nancy Astor was a British politician. She died in Lincolnshire.,"She won well-deserved re-elections, so her biography states.",She,won,well-deserved,"re-elections, ",so her,biography states.,"Look at the picture of Nancy Astor, a British politician.",Nancy Astor*was*a British*politician.*She*died*in Lincolnshire.,"She*won*well-deserved*re-elections,*so her*biography states.",critical,PS,historicallyPS,yes,match,1,win,crit,crit,Nancy_Astor.png,yes
131,26,Margaret Thatcher,1925,2013,British,American,politician,activist,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Margaret Thatcher was a British politician. She died in London.,"She has won well-deserved re-elections, so her biography states.",She,has won,well-deserved,"re-elections, ",so her,biography states.,"Look at the picture of Margaret Thatcher, a British politician.",Margaret Thatcher*was*a British*politician.*She*died*in London.,"She*has won*well-deserved*re-elections,*so her*biography states.",critical,PP,recentlyPP,no,recentlyPP,2,win,crit,crit,Margaret_Thatcher.jpg,yes
132,26,Margaret Thatcher,1925,2013,British,American,politician,activist,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Margaret Thatcher was a British politician. She died in London.,"She won well-deserved re-elections, so her biography states.",She,won,well-deserved,"re-elections, ",so her,biography states.,"Look at the picture of Margaret Thatcher, a British politician.",Margaret Thatcher*was*a British*politician.*She*died*in London.,"She*won*well-deserved*re-elections,*so her*biography states.",critical,PS,recentlyPS,yes,match,3,win,crit,crit,Margaret_Thatcher.jpg,yes
135,31,Tommy Cooper,1921,1984,British,Danish,TV personality,musician,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Tommy Cooper was a British TV personality. He died in London.,"He has hosted high-ranking TV programs, as stated on Wikipedia.",He,has hosted,high-ranking,"TV programs,",as stated on,Wikipedia.,"Look at the picture of Tommy Cooper, a British TV personality.",Tommy Cooper*was*a British*TV personality.*He*died*in London.,"He*has hosted*high-ranking*TV programs,*as stated on*Wikipedia.",critical,PP,historicallyPP,no,historicallyPP,1,host,crit,crit,Tommy_Cooper.png,yes
136,31,Tommy Cooper,1921,1984,British,Danish,TV personality,musician,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Tommy Cooper was a British TV personality. He died in London.,"He hosted high-ranking TV programs, as stated on Wikipedia.",He,hosted,high-ranking,"TV programs,",as stated on,Wikipedia.,"Look at the picture of Tommy Cooper, a British TV personality.",Tommy Cooper*was*a British*TV personality.*He*died*in London.,"He*hosted*high-ranking*TV programs,*as stated on*Wikipedia.",critical,PS,historicallyPS,yes,match,2,host,crit,crit,Tommy_Cooper.png,yes
137,31,Larry King,1933,2021,American,German,TV personality,musician,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Larry King was a British TV personality. He died in Los Angeles.,"He has hosted high-ranking TV programs, as stated on Wikipedia.",He,has hosted,high-ranking,"TV programs,",as stated on,Wikipedia.,"Look at the picture of Larry King, an American TV personality.",Larry King*was*a British*TV personality.*He*died*in Los Angeles.,"He*has hosted*high-ranking*TV programs,*as stated on*Wikipedia.",critical,PP,recentlyPP,no,recentlyPP,3,host,crit,crit,Larry_King.png,yes
138,31,Larry King,1933,2021,American,German,TV personality,musician,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Larry King was a British TV personality. He died in Los Angeles.,"He hosted high-ranking TV programs, as stated on Wikipedia.",He,hosted,high-ranking,"TV programs,",as stated on,Wikipedia.,"Look at the picture of Larry King, an American TV personality.",Larry King*was*a British*TV personality.*He*died*in Los Angeles.,"He*hosted*high-ranking*TV programs,*as stated on*Wikipedia.",critical,PS,recentlyPS,yes,match,4,host,crit,crit,Larry_King.png,yes
141,32,Richard the Lionheart,1157  ,1199,English,Turkish,royal,activist,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Richard the Lionheart was an English royal. He died in France.,"He has received numerous royal titles, as reported by his biographer.",He,has received,numerous,"royal titles,",as reported by,his biographer.,"Look at the picture of Richard the Lionheart, an English royal.",Richard the Lionheart*was*an English*royal.*He*died*in France.,"He*has received*numerous*royal titles,*as reported by*his biographer.",critical,PP,historicallyPP,no,historicallyPP,2,receive,crit,crit,Richard_the_Lionheart.png,yes
142,32,Richard the Lionheart,1157  ,1199,English,Turkish,royal,activist,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Richard the Lionheart was an English royal. He died in France.,"He received numerous royal titles, as reported by his biographer.",He,received,numerous,"royal titles,",as reported by,his biographer.,"Look at the picture of Richard the Lionheart, an English royal.",Richard the Lionheart*was*an English*royal.*He*died*in France.,"He*received*numerous*royal titles,*as reported by*his biographer.",critical,PS,historicallyPS,yes,match,3,receive,crit,crit,Richard_the_Lionheart.png,yes
143,32,Prince Philip,1921,2021,British,American,royal,activist,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Prince Philip was a British royal. He died in Windsor.,"He has received numerous royal titles, as reported by his biographer.",He,has received,numerous,"royal titles,",as reported by,his biographer.,"Look at the picture of Prince Philip, a British royal.",Prince Philip*was*a British*royal.*He*died*in Windsor.,"He*has received*numerous*royal titles,*as reported by*his biographer.",critical,PP,recentlyPP,no,recentlyPP,4,receive,crit,crit,Prince_Philip.png,yes
144,32,Prince Philip,1921,2021,British,American,royal,activist,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Prince Philip was a British royal. He died in Windsor.,"He received numerous royal titles, as reported by his biographer.",He,received,numerous,"royal titles,",as reported by,his biographer.,"Look at the picture of Prince Philip, a British royal.",Prince Philip*was*a British*royal.*He*died*in Windsor.,"He*received*numerous*royal titles,*as reported by*his biographer.",critical,PS,recentlyPS,yes,match,5,receive,crit,crit,Prince_Philip.png,yes
146,99,William Shakespeare,1564,1616,English,Dutch,playwright,businessman,practice,dead,alive,died,were born,before 2000,after 2000,yes,before 2000,William Shakespeare was an English playwright. He died in 1616.,"He lives in Stratford-upon-Avon, if one believes Wikipedia.",practice,practice,practice,practice,practice,practice,"Look at the picture of William Shakespeare, an English playwright.",William Shakespeare*was*an English*playwright.*He*died*in 1616.,"He*lives*in Stratford-upon-Avon,*if one believes*Wikipedia.",practice,PresS,practice_deadPresS,no,praclice_deadPresS,99,live,Right!<p>Shakespeare doesn't live anywhere anymore!,Hmm...you should've said 'no'.<p>Shakespeare doesn't live anywhere anymore because  he's dead (in case you didn't know).,William_Shakespeare.jpg,yes
147,98,Toni Morrison,1931,2019,American ,German,novelist,scientist,practice,dead,alive,died,were born,before 2000,after 2000,no,after 2000,Toni Morrison was an American novelist from Ohio.,"She was awarded the Nobel Prize in Literature, as stated in her memoir.",practice,practice,practice,practice,practice,practice,"Look at the picture of Toni Morrison, an American  novelist.",Toni Morrison*was*an American*novelist*from Ohio.,"She*was awarded*the Nobel Prize*in Literature,*as stated in*her memoir.",practice,PastPass,practice_deadPastPass,yes,practice_match,99,award,Right!<p>The sentence was fine.,Hmm..<p>The last sentence fit well with thedescription and the photo. You should have responded 'yes'.,Toni_Morrison.jpg,yes
149,96,Audrey Hepburn,1929,1993,British,French,actress,politician,practice,dead,alive,died,were born,before 2000,after 2000,yes,before 2000,Audrey Hepburn was a British actress. She died in 1993.,"She is currently working on a new movie, so it's said.",practice,practice,practice,practice,practice,practice,"Look at the picture of Audrey Hepburn, a British actress.",Audrey Hepburn*was*a British*actress.*She*died*in 1993.,"She*is currently*working*on a new movie,*so it's*said.",practice,PastPass,practice_deadPastPass,no,practice_deadPresCont,99,be regarded,"Right!<p>The sentence does not fit, because she died and therefore cannot be currently doing something.",Hmm...you should've said 'no'.<p>She can't be currently working on a movie because she died (in case you didn't know).,Audrey_Hepburn.png,no
145,97,Shakira,1977,alive,Colombian,Cuban,singer,comedian,practice,alive,dead,were born,died,before 1925,after 1925,no,after 1925,Shakira is a Colombian singer. She was born and raised in Colombia.,"She has been called the 'Queen of Latin Music', so it's said.",practice,practice,practice,practice,practice,practice,"Look at the picture of Shakira, a Colombian singer.",Shakira*is*a Colombian*singer.*She*was born and raised*in Colombia.,"She*has been called*the 'Queen of Latin Music',*so it's*said.",practice,PPPass,practice_alivePPPass,yes,practice_match,99,be called,Right!<p>The sentence was fine.,Hmm..<p>The last sentence fit well with the description and the photo.,Shakira.jpg,yes
148,100,Ian McEwan,1948,alive,British,Austrian,novelist,director,practice,alive,dead,were born,died,before 1925,after 1925,no,after 1925,Ian McEwan is a British novelist. He has been married twice.,"Many of his novels have been adapted into films, according to news reports.",practice,practice,practice,practice,practice,practice,"Look at the picture of Ian McEwan, a British novelist.",Ian McEwan*is*a British*novelist.*He*has been*married*twice.,"Many of his*novels*have been adapted*into films,*according to*news reports.",practice,PP,practice_alivePPPass,yes,practice_match,99,adapt,Right!<p>The sentence was fine.,Hmm..<p>The last sentence fit well with the description and the photo. You should have responded 'yes'.,Ian_McEwan.jpg,no
